Date,Open,High,Low,Close,Adj Close,Volume
2016-12-05,6.500000,6.695000,6.431000,6.589000,6.589000,18633266
2016-12-06,6.600000,7.025000,6.577000,7.022000,7.022000,19153924
2016-12-07,7.167000,7.349000,7.156000,7.290000,7.290000,28479978
2016-12-08,7.317000,7.855000,7.270000,7.670000,7.670000,37622107
2016-12-09,7.619000,7.690000,7.485000,7.676000,7.676000,18460784
2016-12-12,7.681000,7.878000,7.672000,7.735000,7.735000,16601113
2016-12-13,7.740000,7.817000,7.622000,7.661000,7.661000,16814863
2016-12-14,7.660000,7.750000,7.561000,7.626000,7.626000,11018241
2016-12-15,7.730000,7.889000,7.634000,7.810000,7.810000,21322489
2016-12-16,7.800000,7.850000,7.720000,7.728000,7.728000,18432548
2016-12-19,7.700000,7.700000,7.461000,7.464000,7.464000,14287026
2016-12-20,7.465000,7.659000,7.454000,7.639000,7.639000,12505074
2016-12-21,7.637000,7.694000,7.585000,7.644000,7.644000,8965191
2016-12-22,7.612000,7.688000,7.573000,7.591000,7.591000,6524538
2016-12-23,7.675000,7.690000,7.483000,7.497000,7.497000,8147557
2016-12-27,7.497000,7.550000,7.450000,7.450000,7.450000,4432981
2016-12-28,7.450000,7.479000,7.317000,7.321000,7.321000,7210038
2016-12-29,7.245000,7.277000,7.180000,7.188000,7.188000,8640738
2016-12-30,7.189000,7.269000,7.170000,7.246000,7.246000,5015249
2017-01-02,7.266000,7.519000,7.254000,7.500000,7.500000,6626337
2017-01-03,7.581000,7.861000,7.504000,7.822000,7.822000,15602528
2017-01-04,7.850000,7.974000,7.748000,7.820000,7.820000,16591646
2017-01-05,7.850000,7.975000,7.770000,7.839000,7.839000,13248085
2017-01-06,7.808000,7.884000,7.720000,7.854000,7.854000,10229471
2017-01-09,7.850000,7.857000,7.608000,7.661000,7.661000,9219554
2017-01-10,7.589000,7.630000,7.409000,7.607000,7.607000,13217353
2017-01-11,7.605000,7.690000,7.533000,7.610000,7.610000,9529297
2017-01-12,7.566000,7.610000,7.395000,7.408000,7.408000,11170219
2017-01-13,7.466000,7.678000,7.463000,7.616000,7.616000,13766479
2017-01-16,7.544000,7.545000,7.423000,7.451000,7.451000,8556767
2017-01-17,7.450000,7.609000,7.389000,7.452000,7.452000,9940301
2017-01-18,7.526000,7.538000,7.408000,7.521000,7.521000,10127118
2017-01-19,7.535000,7.890000,7.535000,7.844000,7.844000,20354676
2017-01-20,7.855000,8.143000,7.807000,8.061000,8.061000,23136969
2017-01-23,8.037000,8.037000,7.875000,7.900000,7.900000,14896364
2017-01-24,7.921000,7.980000,7.909000,7.949000,7.949000,11479725
2017-01-25,8.064000,8.255000,8.064000,8.234000,8.234000,24957947
2017-01-26,8.349000,8.495000,8.277000,8.334000,8.334000,20416057
2017-01-27,8.340000,8.358000,8.213000,8.257000,8.257000,12454133
2017-01-30,8.201000,8.248000,8.081000,8.100000,8.100000,9437467
2017-01-31,8.135000,8.333000,8.012000,8.013000,8.013000,15593031
2017-02-01,8.123000,8.268000,8.076000,8.194000,8.194000,13822842
2017-02-02,8.162000,8.214000,8.053000,8.117000,8.117000,11430052
2017-02-03,8.150000,8.202000,8.077000,8.166000,8.166000,10895198
2017-02-06,8.201000,8.257000,7.920000,7.928000,7.928000,16758188
2017-02-07,7.950000,7.975000,7.850000,7.870000,7.870000,10813798
2017-02-08,7.901000,7.929000,7.480000,7.736000,7.736000,17169337
2017-02-09,7.831000,7.880000,7.381000,7.600000,7.600000,25711340
2017-02-10,7.680000,7.683000,7.376000,7.421000,7.421000,15616240
2017-02-13,7.425000,7.482000,7.280000,7.381000,7.381000,15305585
2017-02-14,7.389000,7.532000,7.370000,7.528000,7.528000,12161512
2017-02-15,7.600000,7.785000,7.585000,7.685000,7.685000,16751003
2017-02-16,7.651000,7.694000,7.482000,7.491000,7.491000,11015419
2017-02-17,7.500000,7.500000,7.310000,7.412000,7.412000,14062412
2017-02-20,7.480000,7.568000,7.402000,7.435000,7.435000,6258968
2017-02-21,7.450000,7.495000,7.319000,7.404000,7.404000,11286033
2017-02-22,7.437000,7.515000,7.311000,7.350000,7.350000,13767516
2017-02-23,7.350000,7.405000,7.270000,7.303000,7.303000,10514042
2017-02-24,7.280000,7.308000,6.965000,7.098000,7.098000,19729037
2017-02-27,7.130000,7.180000,7.055000,7.110000,7.110000,7418311
2017-02-28,7.142000,7.247000,7.085000,7.201000,7.201000,9716395
2017-03-01,7.284000,7.496000,7.275000,7.486000,7.486000,18424484
2017-03-02,7.495000,7.640000,7.466000,7.473000,7.473000,13782972
2017-03-03,7.430000,7.812000,7.410000,7.812000,7.812000,25111611
2017-03-06,7.745000,7.865000,7.687000,7.757000,7.757000,14714212
2017-03-07,7.743000,7.765000,7.618000,7.677000,7.677000,8717200
2017-03-08,7.650000,7.847000,7.636000,7.716000,7.716000,11400913
2017-03-09,7.683000,7.950000,7.628000,7.837000,7.837000,15969417
2017-03-10,7.895000,8.315000,7.891000,8.294000,8.294000,29910840
2017-03-13,8.290000,8.350000,8.191000,8.266000,8.266000,14898551
2017-03-14,8.265000,8.389000,8.106000,8.154000,8.154000,14695866
2017-03-15,8.185000,8.376000,8.183000,8.319000,8.319000,13533541
2017-03-16,8.408000,8.500000,8.323000,8.415000,8.415000,20368611
2017-03-17,8.400000,8.706000,8.389000,8.550000,8.550000,28578879
2017-03-20,8.504000,8.594000,8.345000,8.356000,8.356000,12610212
2017-03-21,8.414000,8.599000,8.345000,8.420000,8.420000,13528209
2017-03-22,8.299000,8.425000,8.150000,8.346000,8.346000,13090803
2017-03-23,8.362000,8.517000,8.262000,8.478000,8.478000,13114912
2017-03-24,8.450000,8.600000,8.401000,8.526000,8.526000,11403397
2017-03-27,8.440000,8.525000,8.354000,8.521000,8.521000,10253328
2017-03-28,8.560000,8.806000,8.557000,8.803000,8.803000,15757685
2017-03-29,8.885000,9.080000,8.551000,8.651000,8.651000,22777133
2017-03-30,8.700000,8.742000,8.390000,8.537000,8.537000,17589064
2017-03-31,8.518000,8.545000,8.331000,8.478000,8.478000,14599018
2017-04-03,8.520000,8.535000,8.330000,8.366000,8.366000,9078736
2017-04-04,8.340000,8.365000,8.163000,8.266000,8.266000,12144774
2017-04-05,8.357000,8.529000,8.317000,8.435000,8.435000,13331553
2017-04-06,8.350000,8.413000,8.246000,8.370000,8.370000,11015302
2017-04-07,8.305000,8.388000,8.262000,8.292000,8.292000,7622653
2017-04-10,8.330000,8.384000,8.259000,8.333000,8.333000,8040331
2017-04-11,8.283000,8.364000,8.120000,8.164000,8.164000,10894655
2017-04-12,8.188000,8.257000,8.090000,8.128000,8.128000,10285511
2017-04-13,8.115000,8.120000,7.920000,8.035000,8.035000,11292705
2017-04-18,8.035000,8.080000,7.825000,7.870000,7.870000,12194065
2017-04-19,7.870000,8.220000,7.867000,8.220000,8.220000,13497325
2017-04-20,8.189000,8.315000,8.142000,8.264000,8.264000,10349880
2017-04-21,8.300000,8.346000,8.202000,8.317000,8.317000,12190230
2017-04-24,8.938000,9.150000,8.873000,9.100000,9.100000,45953920
2017-04-25,9.120000,9.136000,8.903000,9.051000,9.051000,14582733
2017-04-26,9.027000,9.080000,8.963000,9.071000,9.071000,12911510
2017-04-27,9.025000,9.040000,8.769000,8.837000,8.837000,12815849
2017-04-28,8.820000,9.090000,8.757000,8.995000,8.995000,12566291
2017-05-02,8.995000,9.081000,8.951000,9.073000,9.073000,8933100
2017-05-03,9.078000,9.220000,9.035000,9.202000,9.202000,12567779
2017-05-04,9.255000,9.486000,9.172000,9.486000,9.486000,14706904
2017-05-05,9.435000,9.633000,9.410000,9.600000,9.600000,13991654
2017-05-08,9.740000,9.750000,9.283000,9.404000,9.404000,17281059
2017-05-09,9.600000,9.743000,9.400000,9.400000,9.400000,20938711
2017-05-10,9.393000,9.528000,9.314000,9.489000,9.489000,14573178
2017-05-11,9.470000,9.568000,9.422000,9.507000,9.507000,11706046
2017-05-12,9.512000,9.570000,9.427000,9.459000,9.459000,8299627
2017-05-15,9.530000,9.712000,9.456000,9.712000,9.712000,11551167
2017-05-16,9.709000,9.799000,9.657000,9.687000,9.687000,9365407
2017-05-17,9.542000,9.686000,9.351000,9.411000,9.411000,14310854
2017-05-18,9.415000,9.489000,9.001000,9.407000,9.407000,19752673
2017-05-19,9.439000,9.550000,9.415000,9.547000,9.547000,10734938
