Date,Open,High,Low,Close,Adj Close,Volume
2016-12-05,118.000000,122.099998,117.900002,121.599998,119.865257,1111282
2016-12-06,122.000000,122.099998,120.550003,121.400002,119.668114,883896
2016-12-07,122.949997,127.000000,122.750000,127.000000,125.188225,2194524
2016-12-08,126.500000,129.649994,126.250000,128.899994,127.061111,2457149
2016-12-09,127.849998,128.550003,125.800003,128.100006,126.272537,1256082
2016-12-12,126.750000,127.800003,125.849998,127.050003,125.237511,1062242
2016-12-13,127.000000,129.800003,126.750000,129.149994,127.307549,1119608
2016-12-14,128.500000,129.899994,128.050003,128.949997,127.110405,1005810
2016-12-15,128.399994,130.149994,128.050003,129.949997,128.096130,1502635
2016-12-16,129.449997,131.899994,129.350006,131.199997,129.328308,2022396
2016-12-19,130.899994,133.750000,129.449997,133.649994,131.743347,1165543
2016-12-20,133.000000,137.300003,132.949997,136.250000,134.306259,1748563
2016-12-21,136.949997,139.000000,136.600006,138.800003,136.819885,1594428
2016-12-22,138.699997,140.000000,138.149994,138.800003,136.819885,1234028
2016-12-23,137.800003,139.100006,136.050003,137.500000,135.538437,793802
2016-12-27,137.500000,138.949997,136.899994,137.250000,135.291992,642322
2016-12-28,136.949997,137.750000,136.500000,136.600006,134.651276,634302
2016-12-29,135.500000,135.500000,133.300003,133.500000,131.595490,1189830
2016-12-30,133.300003,133.500000,132.149994,133.350006,131.447647,555735
2017-01-02,132.699997,138.350006,132.300003,137.750000,135.784866,947388
2017-01-03,138.949997,143.100006,138.949997,140.449997,138.446350,2065730
2017-01-04,141.250000,142.300003,136.649994,138.750000,136.770599,1570153
2017-01-05,137.600006,140.000000,136.800003,139.100006,137.115616,984929
2017-01-06,138.500000,139.199997,137.949997,139.000000,137.017029,795889
2017-01-09,140.000000,145.949997,139.800003,145.850006,143.769318,2936933
2017-01-10,146.500000,149.550003,145.149994,146.050003,143.966461,2345934
2017-01-11,148.000000,152.149994,147.000000,151.000000,148.845840,3083904
2017-01-12,151.800003,152.000000,146.050003,147.300003,145.198624,2087746
2017-01-13,148.500000,150.899994,147.050003,149.550003,147.416534,1682289
2017-01-16,147.399994,148.350006,146.050003,146.300003,144.212891,982722
2017-01-17,145.449997,147.199997,143.149994,146.350006,144.262177,1407380
2017-01-18,147.000000,147.899994,145.550003,146.399994,144.311462,900374
2017-01-19,146.449997,148.449997,145.800003,147.800003,145.691498,958189
2017-01-20,147.399994,148.600006,146.449997,148.199997,146.085785,1185073
2017-01-23,148.500000,153.500000,147.550003,152.800003,150.620163,2461860
2017-01-24,154.000000,154.899994,151.899994,153.600006,151.408752,1398383
2017-01-25,154.800003,156.550003,153.550003,153.899994,151.704468,1751077
2017-01-26,154.800003,154.949997,151.949997,152.500000,150.324448,1112311
2017-01-27,152.250000,152.750000,149.399994,149.899994,147.761520,1310558
2017-01-30,148.100006,149.000000,145.300003,145.500000,143.424301,1364761
2017-01-31,145.399994,148.350006,143.899994,143.899994,141.847122,1615633
2017-02-01,146.350006,147.149994,144.800003,145.699997,143.621445,1078447
2017-02-02,145.199997,145.500000,143.699997,144.300003,142.241425,998554
2017-02-03,144.699997,145.800003,144.149994,144.899994,142.832855,765096
2017-02-06,144.399994,144.500000,141.500000,141.899994,139.875656,1243901
2017-02-07,141.250000,142.750000,140.750000,141.850006,139.826385,741277
2017-02-08,141.550003,142.050003,138.050003,139.899994,137.904190,1049799
2017-02-09,140.399994,141.100006,137.199997,140.000000,138.002762,1286343
2017-02-10,141.550003,142.699997,140.899994,142.149994,140.122086,995836
2017-02-13,142.550003,146.000000,142.500000,145.250000,143.177872,1006323
2017-02-14,145.350006,147.600006,144.250000,146.850006,144.755051,942897
2017-02-15,148.000000,148.850006,144.800003,145.850006,143.769318,1012475
2017-02-16,146.050003,146.699997,142.750000,143.600006,141.551422,966444
2017-02-17,143.000000,143.300003,139.050003,140.250000,138.249207,1903272
2017-02-20,142.000000,142.850006,140.800003,142.149994,140.122086,746896
2017-02-21,142.300003,144.850006,141.199997,144.149994,142.093552,1090331
2017-02-22,144.800003,145.000000,139.899994,141.350006,139.333511,1789289
2017-02-23,141.350006,143.500000,141.100006,141.649994,139.629227,799955
2017-02-24,142.000000,142.550003,139.550003,141.250000,139.234940,1334354
2017-02-27,143.000000,143.149994,139.550003,140.000000,138.002762,1475405
2017-02-28,140.750000,141.199997,139.699997,139.699997,137.707047,947029
2017-03-01,141.149994,144.500000,140.649994,144.399994,142.339996,1383270
2017-03-02,144.250000,145.699997,143.899994,144.899994,142.832855,811051
2017-03-03,143.649994,146.100006,142.100006,144.949997,142.882141,951462
2017-03-06,144.250000,145.399994,143.649994,143.850006,141.797852,687110
2017-03-07,143.899994,145.399994,143.850006,144.800003,142.734299,682480
2017-03-08,144.149994,146.149994,142.949997,143.050003,141.009262,1042454
2017-03-09,143.250000,143.649994,140.000000,141.199997,139.185638,1407121
2017-03-10,142.199997,143.649994,141.100006,141.449997,139.432083,900827
2017-03-13,141.550003,144.300003,140.750000,144.149994,142.093552,1079065
